Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T157_001,SE_T236_001,SE_T236_002,SE_T236_003,SE_T236_004,SE_T236_005,SE_T236_006,SE_T236_007,SE_T236_008,SE_T236_009,SE_T236_010,SE_T236_011,SE_T145_001,SE_T145_002,SE_T145_003,SE_T145_004,SE_T145_005,SE_T201_001,SE_T201_002,SE_T201_003
"06001401100","14000US06001401100","Census Tract 4011, Alameda County, California","Census Tract 4011, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,12133.7,0.341033626410624,4138,81,171,0,12,329,1303,766,457,709,225,55,30,4138,2391,704,0,622,0,92,329,4138,3683,2130,669,0,622,0,0,262,455,261,35,0,0,0,92,67,0.4255,1500,16,0,87,152,698,346,103,13,48,37,4138,486,3652,779,3129,1500,1500,1500
"06001401200","14000US06001401200","Census Tract 4012, Alameda County, California","Census Tract 4012, Alameda County, California","ca","140","00","ACSSF","0002710",,,,,"06","001",,,,"401200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,10167.4,0.257096171874155,2614,145,96,48,83,139,666,557,313,346,150,63,8,2614,1648,373,19,186,0,142,246,2614,2176,1486,366,10,186,0,0,128,438,162,7,9,0,0,142,118,0.446,794,42,0,45,146,251,137,119,29,17,8,2584,111,2473,540,2118,794,794,794
"06001401300","14000US06001401300","Census Tract 4013, Alameda County, California","Census Tract 4013, Alameda County, California","ca","140","00","ACSSF","0002711",,,,,"06","001",,,,"401300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3976,11995.69,0.331452500938228,3976,77,26,43,72,230,1210,662,477,583,304,175,117,3976,1470,1300,37,709,0,188,272,3976,3470,1287,1289,28,709,0,0,157,506,183,11,9,0,0,188,115,0.5432,1476,145,87,281,234,378,180,110,16,0,45,3683,886,2797,1199,1789,1476,1415,1441
"06001401400","14000US06001401400","Census Tract 4014, Alameda County, California","Census Tract 4014, Alameda County, California","ca","140","00","ACSSF","0002712",,,,,"06","001",,,,"401400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108,14032.04,0.292758499267178,4108,156,248,323,142,361,891,710,519,415,139,173,31,4108,1341,1620,100,369,27,436,215,4108,2963,691,1620,78,352,27,36,159,1145,650,0,22,17,0,400,56,0.4845,1317,167,87,163,255,388,184,56,0,0,17,4108,709,3399,2108,1458,1317,1292,1300
"06001401500","14000US06001401500","Census Tract 4015, Alameda County, California","Census Tract 4015, Alameda County, California","ca","140","00","ACSSF","0002713",,,,,"06","001",,,,"401500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,14416.52,0.180695431793506,2605,105,30,74,38,234,752,377,331,317,256,77,14,2605,1090,1014,6,189,23,145,138,2605,2291,957,1009,4,189,23,0,109,314,133,5,2,0,0,145,29,0.5341,655,42,43,180,48,125,72,76,42,10,17,2605,461,2144,971,1350,655,648,636
"06001401600","14000US06001401600","Census Tract 4016, Alameda County, California","Census Tract 4016, Alameda County, California","ca","140","00","ACSSF","0002714",,,,,"06","001",,,,"401600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173,8848.18,0.24558723824203,2173,163,138,157,86,151,627,306,185,251,72,23,14,2173,910,713,11,233,65,82,159,2173,1695,554,713,0,233,65,20,110,478,356,0,11,0,0,62,49,0.4843,611,10,41,97,49,222,78,89,20,0,5,2173,302,1871,1071,998,611,599,599
"06001401700","14000US06001401700","Census Tract 4017, Alameda County, California","Census Tract 4017, Alameda County, California","ca","140","00","ACSSF","0002715",,,,,"06","001",,,,"401700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,1207.822,2.21804270907819,2679,240,126,98,42,171,736,463,345,254,117,63,24,2679,1217,642,0,275,0,443,102,2679,1837,851,642,0,267,0,0,77,842,366,0,0,8,0,443,25,0.4622,626,43,0,124,87,82,126,102,32,0,30,2663,245,2418,962,1593,626,626,626
"06001401800","14000US06001401800","Census Tract 4018, Alameda County, California","Census Tract 4018, Alameda County, California","ca","140","00","ACSSF","0002716",,,,,"06","001",,,,"401800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,16183.41,0.115303236926194,1866,168,120,120,17,239,571,166,145,197,40,57,26,1866,607,814,0,43,0,148,254,1866,1505,510,798,0,43,0,5,149,361,97,16,0,0,0,143,105,0.5249,563,79,24,120,80,132,58,18,12,18,22,1866,310,1556,855,890,563,563,563
"06001402200","14000US06001402200","Census Tract 4022, Alameda County, California","Census Tract 4022, Alameda County, California","ca","140","00","ACSSF","0002717",,,,,"06","001",,,,"402200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406,8751.127,0.274936022869604,2406,131,184,93,93,305,508,302,255,292,119,65,59,2406,972,768,17,341,37,168,103,2406,1861,652,768,17,341,37,0,46,545,320,0,0,0,0,168,57,0.5069,539,45,58,89,98,72,125,31,9,12,0,2406,376,2030,1029,1150,539,539,531
"06001402400","14000US06001402400","Census Tract 4024, Alameda County, California","Census Tract 4024, Alameda County, California","ca","140","00","ACSSF","0002718",,,,,"06","001",,,,"402400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773,21306.69,0.130146935043715,2773,184,93,83,72,202,881,371,247,197,275,123,45,2773,684,1596,16,303,9,72,93,2773,2536,605,1539,15,303,9,0,65,237,79,57,1,0,0,72,28,0.5481,958,163,139,106,193,182,102,37,0,0,36,2754,371,2383,1150,1527,958,958,941
"06001402500","14000US06001402500","Census Tract 4025, Alameda County, California","Census Tract 4025, Alameda County, California","ca","140","00","ACSSF","0002719",,,,,"06","001",,,,"402500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,12990.55,0.141102584259078,1833,236,187,139,55,173,353,236,195,116,102,4,37,1833,300,1205,14,79,0,90,145,1833,1480,155,1171,0,79,0,0,75,353,145,34,14,0,0,90,70,0.5705,602,202,54,53,50,186,49,8,0,0,0,1833,204,1629,1132,699,602,602,602
"06001402600","14000US06001402600","Census Tract 4026, Alameda County, California","Census Tract 4026, Alameda County, California","ca","140","00","ACSSF","0002720",,,,,"06","001",,,,"402600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,10332.59,0.123105589678408,1272,75,42,13,21,73,252,220,98,197,147,109,25,1272,272,327,2,598,0,41,32,1272,1178,219,327,2,598,0,5,27,94,53,0,0,0,0,36,5,0.5417,553,145,81,48,86,96,46,38,9,0,4,1272,168,1104,659,487,553,543,543
"06001402700","14000US06001402700","Census Tract 4027, Alameda County, California","Census Tract 4027, Alameda County, California","ca","140","00","ACSSF","0002721",,,,,"06","001",,,,"402700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,11260.82,0.15398526942982,1734,43,71,50,66,357,394,343,173,122,50,13,52,1734,634,628,33,175,0,120,144,1734,1338,477,617,11,175,0,11,47,396,157,11,22,0,0,109,97,0.5525,599,39,78,74,89,128,85,75,31,0,0,1734,223,1511,689,861,599,599,599
"06001402800","14000US06001402800","Census Tract 4028, Alameda County, California","Census Tract 4028, Alameda County, California","ca","140","00","ACSSF","0002722",,,,,"06","001",,,,"402800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3798,24696.15,0.153789129524924,3798,87,38,83,18,329,953,616,539,501,380,165,89,3798,1061,1603,36,802,0,76,220,3798,3461,912,1582,13,802,0,0,152,337,149,21,23,0,0,76,68,0.604,2165,432,282,379,237,164,175,203,201,47,45,3773,487,3286,1781,1634,2165,1927,1860
"06001402900","14000US06001402900","Census Tract 4029, Alameda County, California","Census Tract 4029, Alameda County, California","ca","140","00","ACSSF","0002723",,,,,"06","001",,,,"402900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,9201.818,0.15127444605921,1392,35,8,10,10,139,425,228,125,122,157,65,68,1392,369,286,46,534,0,80,77,1392,1225,326,286,33,514,0,0,66,167,43,0,13,20,0,80,11,0.5444,848,130,58,164,177,235,74,5,0,0,5,1392,254,1138,528,677,848,809,803
"06001403000","14000US06001403000","Census Tract 4030, Alameda County, California","Census Tract 4030, Alameda County, California","ca","140","00","ACSSF","0002724",,,,,"06","001",,,,"403000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167,23276.48,0.136060089853698,3167,90,85,93,40,203,440,286,397,354,437,414,328,3167,240,139,39,2607,69,46,27,3167,3111,210,139,39,2607,69,20,27,56,30,0,0,0,0,26,0,0.5478,1261,189,322,123,114,245,184,24,0,0,60,3167,224,2943,1978,1218,1261,1167,1167
"06001403100","14000US06001403100","Census Tract 4031, Alameda County, California","Census Tract 4031, Alameda County, California","ca","140","00","ACSSF","0002725",,,,,"06","001",,,,"403100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,12850.93,0.133920311599899,1721,41,57,24,0,124,442,298,217,295,119,53,51,1721,491,302,36,746,6,85,55,1721,1550,436,302,29,739,6,0,38,171,55,0,7,7,0,85,17,0.5284,516,3,99,112,73,33,95,44,28,25,4,1427,102,1325,601,877,516,424,441
"06001403300","14000US06001403300","Census Tract 4033, Alameda County, California","Census Tract 4033, Alameda County, California","ca","140","00","ACSSF","0002726",,,,,"06","001",,,,"403300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4159,11744.28,0.354129826084136,4159,105,184,154,61,286,994,646,513,473,430,230,83,4159,978,401,19,2266,0,187,308,4159,3843,849,401,19,2266,0,0,308,316,129,0,0,0,0,187,0,0.5057,1672,77,32,144,293,340,156,419,116,45,50,4142,429,3713,1734,2302,1672,1672,1656
"06001403400","14000US06001403400","Census Tract 4034, Alameda County, California","Census Tract 4034, Alameda County, California","ca","140","00","ACSSF","0002727",,,,,"06","001",,,,"403400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,16955.71,0.257140573624279,4360,147,65,90,18,193,1270,729,491,536,275,251,295,4360,1807,971,47,1097,0,124,314,4360,3984,1634,957,47,1097,0,41,208,376,173,14,0,0,0,83,106,0.4823,2470,100,132,333,297,808,417,126,78,117,62,4337,571,3766,1594,2832,2470,2451,2299
"06001403501","14000US06001403501","Census Tract 4035.01, Alameda County, California","Census Tract 4035.01, Alameda County, California","ca","140","00","ACSSF","0002728",,,,,"06","001",,,,"403501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4435,17184.44,0.258082276829082,4435,159,237,126,51,149,1065,1024,338,530,362,214,180,4435,1640,1091,72,1022,0,74,536,4435,3902,1468,1059,43,1022,0,0,310,533,172,32,29,0,0,74,226,0.5269,2255,277,125,364,333,609,291,132,46,50,28,4435,467,3968,1906,2304,2255,2255,2255
"06001403502","14000US06001403502","Census Tract 4035.02, Alameda County, California","Census Tract 4035.02, Alameda County, California","ca","140","00","ACSSF","0002729",,,,,"06","001",,,,"403502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081,29539.27,0.0704485889509913,2081,65,28,11,14,75,792,369,241,262,184,40,0,2081,1137,423,0,338,0,84,99,2081,1909,1075,423,0,313,0,0,98,172,62,0,0,25,0,84,1,0.4346,903,0,6,28,43,463,260,56,36,0,11,2081,188,1893,454,1611,903,903,903
"06001403600","14000US06001403600","Census Tract 4036, Alameda County, California","Census Tract 4036, Alameda County, California","ca","140","00","ACSSF","0002730",,,,,"06","001",,,,"403600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751,31569.34,0.150494133563553,4751,296,118,103,75,101,1610,1150,501,374,275,94,54,4751,2042,1457,35,566,4,153,494,4751,4152,1798,1372,35,566,4,14,363,599,244,85,0,0,0,139,131,0.3724,2140,12,0,35,261,1207,393,190,16,10,16,4641,326,4315,1298,3404,2140,2140,2140
"06001403701","14000US06001403701","Census Tract 4037.01, Alameda County, California","Census Tract 4037.01, Alameda County, California","ca","140","00","ACSSF","0002731",,,,,"06","001",,,,"403701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2755,41020.64,0.0671613150331198,2755,92,62,58,21,91,958,532,285,177,122,119,238,2755,1719,473,0,241,0,90,232,2755,2465,1524,473,0,241,0,28,199,290,195,0,0,0,0,62,33,0.3926,1472,11,35,11,179,887,250,85,14,0,0,2716,391,2325,596,2035,1472,1472,1432
"06001403702","14000US06001403702","Census Tract 4037.02, Alameda County, California","Census Tract 4037.02, Alameda County, California","ca","140","00","ACSSF","0002732",,,,,"06","001",,,,"403702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,26143.26,0.0775343360664219,2027,29,90,9,16,34,665,336,318,212,268,40,10,2027,1259,175,0,279,36,130,148,2027,1780,1184,175,0,279,36,0,106,247,75,0,0,0,0,130,42,0.3895,847,0,0,40,99,182,404,84,18,10,10,2027,76,1951,524,1626,847,847,847
"06001403800","14000US06001403800","Census Tract 4038, Alameda County, California","Census Tract 4038, Alameda County, California","ca","140","00","ACSSF","0002733",,,,,"06","001",,,,"403800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,13191.12,0.251911977970554,3323,156,98,57,66,140,952,622,484,400,231,67,50,3323,2359,254,0,384,0,40,286,3323,3043,2140,254,0,384,0,13,252,280,219,0,0,0,0,27,34,0.4086,1221,10,17,61,131,405,365,143,45,26,18,3323,275,3048,556,2750,1221,1213,1212
"06001403900","14000US06001403900","Census Tract 4039, Alameda County, California","Census Tract 4039, Alameda County, California","ca","140","00","ACSSF","0002734",,,,,"06","001",,,,"403900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938,20684.1,0.1903877546923,3938,260,128,52,2,200,973,649,487,550,303,153,181,3938,2237,687,12,689,0,97,216,3938,3779,2153,671,12,689,0,38,216,159,84,16,0,0,0,59,0,0.4084,1472,0,55,36,142,632,287,62,115,143,0,3938,269,3669,1116,3228,1472,1472,1472
"06001404000","14000US06001404000","Census Tract 4040, Alameda County, California","Census Tract 4040, Alameda County, California","ca","140","00","ACSSF","0002735",,,,,"06","001",,,,"404000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932,20611.42,0.142251238229675,2932,128,41,8,28,213,1026,628,240,366,198,29,27,2932,1852,190,5,315,31,271,268,2932,2502,1742,177,5,315,31,43,189,430,110,13,0,0,0,228,79,0.3521,1161,10,0,9,101,674,244,57,0,27,39,2932,293,2639,527,2413,1161,1161,1161
"06001404101","14000US06001404101","Census Tract 4041.01, Alameda County, California","Census Tract 4041.01, Alameda County, California","ca","140","00","ACSSF","0002736",,,,,"06","001",,,,"404101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,14437.17,0.220749671427049,3187,201,39,82,25,233,750,622,392,374,193,145,131,3187,2245,176,8,379,0,69,310,3187,2971,2092,176,8,379,0,37,279,216,153,0,0,0,0,32,31,0.453,1018,9,0,35,71,374,333,74,36,77,9,3183,167,3016,660,2751,1018,1018,888
"06001404102","14000US06001404102","Census Tract 4041.02, Alameda County, California","Census Tract 4041.02, Alameda County, California","ca","140","00","ACSSF","0002737",,,,,"06","001",,,,"404102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,27433.36,0.088869909821976,2438,61,45,47,9,51,536,362,266,361,243,200,257,2438,1680,272,12,299,19,43,113,2438,2220,1615,264,4,286,19,10,22,218,65,8,8,13,0,33,91,0.4963,1261,114,19,51,95,523,282,88,64,25,0,2282,75,2207,680,1885,1261,1234,1222
"06001404200","14000US06001404200","Census Tract 4042, Alameda County, California","Census Tract 4042, Alameda County, California","ca","140","00","ACSSF","0002738",,,,,"06","001",,,,"404200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3470.43,1.05174271077704,3650,237,355,181,159,371,127,469,674,504,342,135,96,3650,2584,495,0,335,26,16,194,3650,3469,2425,495,0,335,26,7,181,181,159,0,0,0,0,9,13,0.3843,283,0,0,0,6,39,56,56,27,77,22,3650,67,3583,620,3402,283,283,283
"06001404300","14000US06001404300","Census Tract 4043, Alameda County, California","Census Tract 4043, Alameda County, California","ca","140","00","ACSSF","0002739",,,,,"06","001",,,,"404300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329,4718.362,0.705541492856338,3329,193,204,184,98,151,356,457,483,544,472,117,70,3329,2232,186,0,402,24,197,288,3329,2971,2138,165,0,402,24,0,242,358,94,21,0,0,0,197,46,0.4427,228,0,0,0,0,79,64,24,0,61,0,3329,17,3312,757,3062,228,228,228
"06001404400","14000US06001404400","Census Tract 4044, Alameda County, California","Census Tract 4044, Alameda County, California","ca","140","00","ACSSF","0002740",,,,,"06","001",,,,"404400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404,3397.427,1.59061547775511,5404,326,299,293,109,113,686,824,1191,912,470,166,15,5404,4046,110,0,946,0,0,302,5404,5046,3751,110,0,946,0,0,239,358,295,0,0,0,0,0,63,0.4015,338,0,0,0,0,75,69,33,88,60,13,5404,100,5304,746,5078,338,338,338
"06001404501","14000US06001404501","Census Tract 4045.01, Alameda County, California","Census Tract 4045.01, Alameda County, California","ca","140","00","ACSSF","0002741",,,,,"06","001",,,,"404501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836,4370.91,0.420049822624661,1836,113,148,84,79,79,149,257,302,237,250,100,38,1836,1309,81,0,255,6,34,151,1836,1686,1193,81,0,255,6,0,151,150,116,0,0,0,0,34,0,0.4731,94,0,0,0,5,28,14,4,25,7,11,1836,85,1751,431,1606,94,94,94
"06001404502","14000US06001404502","Census Tract 4045.02, Alameda County, California","Census Tract 4045.02, Alameda County, California","ca","140","00","ACSSF","0002742",,,,,"06","001",,,,"404502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5403,4556.061,1.18589275317106,5403,217,486,264,182,110,350,830,1035,843,654,335,97,5403,3950,265,0,702,0,22,464,5403,4964,3567,265,0,702,0,0,430,439,383,0,0,0,0,22,34,0.4341,282,0,0,0,0,0,25,183,16,18,40,5403,175,5228,1234,4771,282,282,282
"06001404600","14000US06001404600","Census Tract 4046, Alameda County, California","Census Tract 4046, Alameda County, California","ca","140","00","ACSSF","0002743",,,,,"06","001",,,,"404600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,2332.033,1.8640387523031,4347,197,197,203,85,168,444,532,730,835,673,228,55,4347,3314,202,26,579,31,11,184,4347,4183,3178,202,18,579,31,11,164,164,136,0,8,0,0,0,20,0.3784,140,0,0,10,16,22,0,9,18,57,8,4347,42,4305,1045,3986,140,118,140
